scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
3,naive,1000,5,none,0.0,3,2,2000,0.0038606957621398,0.0058173823862751,0.0058053801045596,0.0762717666392693,0.0605444885357831,0.95,2000,835.385866165161,0.001703728280061055,0.00018405297121083404,0.0012065602995753378
3,ipw_robust,1000,5,none,0.0,3,2,2000,-0.0257565388116114,0.0068096796487913,0.0061493550347547,0.082520783132441,0.065469482799254,0.936,2000,835.385866165161,0.0017534758388347842,0.00021441437193109073,0.0012991537634038704
3,dr_robust,1000,5,none,0.0,3,2,2000,-0.0002695315799958,0.0058121869293287,0.0058150217929526,0.0762377001838904,0.0608678331843487,0.953,2000,835.385866165161,0.0017051424856815633,0.00018388943238658545,0.0012060268865865047
3,aipw_robust,1000,5,none,0.0,3,2,2000,-0.0046800157973794,0.0083436388254397,0.0083258992271895,0.0913435209822772,0.0732379930805429,0.9495,2000,835.385866165161,0.002040330760831378,0.0002639797620159143,0.0014449835039046317
3,reg_adj,1000,5,none,0.0,3,2,2000,0.0034533931557074,0.0055522404013043,0.0055430860200264,0.074513357200601,0.059542083802834,0.9495,2000,835.385866165161,0.0016647951856048838,0.00017566449690761157,0.0011787450163780484
3,adaptive,1000,5,none,0.0,3,2,2000,0.0034533931557074,0.0055522404013043,0.0055430860200264,0.074513357200601,0.059542083802834,0.9495,2000,835.385866165161,0.0016647951856048838,0.00017566449690761157,0.0011787450163780484
4,naive,200,10,none,0.0,3,2,2000,0.0078592268195554,0.0342368408446791,0.0341921694832195,0.185031999515433,0.14528680489746,0.9495,2000,329.045756101608,0.004134741194030136,0.0010832028341669544,0.002927068931329922
4,ipw_robust,200,10,none,0.0,3,2,2000,-0.0150344013330155,0.0342047720286004,0.033995736673495,0.184945321726721,0.146867548279543,0.9535,2000,329.045756101608,0.004122847115373974,0.001082163778667913,0.0029256316639004807
4,dr_robust,200,10,none,0.0,3,2,2000,0.0037914518992234,0.032978975980399,0.0329810914186041,0.18160114531687,0.143153713161389,0.9475,2000,329.045756101608,0.004060855292829585,0.0010434081678000287,0.0028728017270469833
4,aipw_robust,200,10,none,0.0,3,2,2000,-0.0056611945816018,0.0437633519711318,0.0437531794367594,0.209196921514471,0.166285933790482,0.955,2000,329.045756101608,0.004677241678423267,0.0013846101303181101,0.003309346333335816
4,reg_adj,200,10,none,0.0,3,2,2000,0.0077902285613205,0.0291859165645571,0.0291397988029209,0.170838861400318,0.134780051611395,0.949,2000,329.045756101608,0.003817053759309718,0.000923398465852972,0.002702542203466281
4,adaptive,200,10,none,0.0,3,2,2000,0.0071418006469024,0.0296493836505703,0.0296131849265535,0.172189963849727,0.13550690043737,0.9505,2000,329.045756101608,0.0038479335315564833,0.000938062674469345,0.0027239179726177526
5,naive,500,10,none,0.0,3,2,2000,0.0060218152375588,0.0125896770944664,0.0125596946830526,0.112203730305487,0.0896175498434147,0.9505,2000,792.282344102859,0.002505962358361813,0.0003983174818263297,0.001774974329025722
5,ipw_robust,500,10,none,0.0,3,2,2000,-0.0178699926901946,0.0130107833861813,0.0126977956452563,0.114064820984304,0.0907529751974521,0.9445,2000,792.282344102859,0.002519701931306191,0.00041151398154912086,0.0018038601998321096
5,dr_robust,500,10,none,0.0,3,2,2000,0.0007804785570897,0.0123509220096107,0.0123564911083868,0.111134702094398,0.0888317441031538,0.953,2000,792.282344102859,0.002485607683081423,0.0003907658203389033,0.0017580729195053142
5,aipw_robust,500,10,none,0.0,3,2,2000,-0.0038979262259348,0.0171033483024155,0.0170967028249651,0.130779770233838,0.103635219020857,0.95,2000,792.282344102859,0.002923756387335058,0.0005411254718074654,0.002068842416682326
5,reg_adj,500,10,none,0.0,3,2,2000,0.0049843417950596,0.0115067999192773,0.0114877001062004,0.107269753049391,0.0861151052167006,0.946,2000,792.282344102859,0.0023966330660116076,0.00036405775205748604,0.0016969264014706003
5,adaptive,500,10,none,0.0,3,2,2000,0.0049843417950596,0.0115067999192773,0.0114877001062004,0.107269753049391,0.0861151052167006,0.946,2000,792.282344102859,0.0023966330660116076,0.00036405775205748604,0.0016969264014706003
6,naive,1000,10,none,0.0,3,2,2000,0.0081224403354673,0.0061307818107178,0.0060678416945619,0.0782993091330816,0.0616167989598045,0.944,2000,1420.03727698326,0.0017418153884039922,0.00019395706446334284,0.0012385617868842448
6,ipw_robust,1000,10,none,0.0,3,2,2000,-0.0141714532687605,0.0063319202115881,0.0061341572024407,0.0795733637066333,0.0630545872898361,0.939,2000,1420.03727698326,0.0017513076831957171,0.00020022919677888045,0.0012581420933584914
6,dr_robust,1000,10,none,0.0,3,2,2000,0.003854559318015,0.0059077287962902,0.0058958190782933,0.0768617511919309,0.0606008015321167,0.9405,2000,1420.03727698326,0.0017169477392007743,0.00018691141851620043,0.001215893572665716
6,aipw_robust,1000,10,none,0.0,3,2,2000,-0.0011149825678362,0.0079377098620405,0.0079404368943611,0.0890938261724153,0.0711760466861782,0.953,2000,1420.03727698326,0.0019925407015116527,0.00025113797195028677,0.001409401654073549
6,reg_adj,1000,10,none,0.0,3,2,2000,0.0079668709163378,0.0055996636021348,0.0055389620509627,0.0748309000489428,0.0591821748450774,0.9405,2000,1420.03727698326,0.001664175779622258,0.000177153119869114,0.0011836896238936578
6,adaptive,1000,10,none,0.0,3,2,2000,0.0079668709163378,0.0055996636021348,0.0055389620509627,0.0748309000489428,0.0591821748450774,0.9405,2000,1420.03727698326,0.001664175779622258,0.000177153119869114,0.0011836896238936578
