"scenario_id","method","n","p","contamination_type","contamination_rate","contamination_strength","true_ate","n_mc","bias","mse","var","rmse","mae","coverage","n_valid","elapsed_sec"
1,"naive",200,5,"none",0,3,2,2000,0.00803692353364927,0.0308178829033819,0.0307686751010467,0.175550229004071,0.139586750411221,0.9465,2000,198.148185968399
1,"ipw_robust",200,5,"none",0,3,2,2000,-0.020987459902847,0.0314354967456404,0.0310105285367352,0.177300583038072,0.142090765063695,0.9475,2000,198.148185968399
1,"dr_robust",200,5,"none",0,3,2,2000,0.00323744851356622,0.0307534719565112,0.0307583700686675,0.175366678580941,0.139985700310997,0.952,2000,198.148185968399
1,"aipw_robust",200,5,"none",0,3,2,2000,0.00180278615109586,0.041757272427536,0.0417749098445517,0.204345962591719,0.162747790894887,0.948,2000,198.148185968399
1,"reg_adj",200,5,"none",0,3,2,2000,0.00719295115221419,0.0286319050893116,0.028594463774921,0.169209648333987,0.135280913414069,0.951,2000,198.148185968399
1,"adaptive",200,5,"none",0,3,2,2000,0.00717166985467266,0.0286488943362515,0.0286117673714328,0.169259842656938,0.135302194711611,0.951,2000,198.148185968399
2,"naive",500,5,"none",0,3,2,2000,0.00990024121555111,0.0117964891085327,0.0117043264956545,0.10861164352192,0.0864175195374492,0.948,2000,435.221884012222
2,"ipw_robust",500,5,"none",0,3,2,2000,-0.0195321174282248,0.0127124199106777,0.0123370848418686,0.112749367673072,0.0904513176261401,0.941,2000,435.221884012222
2,"dr_robust",500,5,"none",0,3,2,2000,0.00562312299350021,0.0115257482813588,0.011499878708513,0.107358037805089,0.0857417361970637,0.9465,2000,435.221884012222
2,"aipw_robust",500,5,"none",0,3,2,2000,0.0031063875138555,0.0158731555568766,0.0158714416343075,0.125988712021659,0.100495275114957,0.948,2000,435.221884012222
2,"reg_adj",500,5,"none",0,3,2,2000,0.00899030430817049,0.0109109311676971,0.0108355233578225,0.104455402769302,0.083447486255668,0.949,2000,435.221884012222
2,"adaptive",500,5,"none",0,3,2,2000,0.00899030430817049,0.0109109311676971,0.0108355233578225,0.104455402769302,0.083447486255668,0.949,2000,435.221884012222
3,"naive",1000,5,"none",0,3,2,2000,0.00386069576213988,0.00581738238627515,0.00580538010455962,0.0762717666392693,0.0605444885357831,0.95,2000,835.385866165161
3,"ipw_robust",1000,5,"none",0,3,2,2000,-0.0257565388116114,0.00680967964879137,0.0061493550347547,0.082520783132441,0.065469482799254,0.936,2000,835.385866165161
3,"dr_robust",1000,5,"none",0,3,2,2000,-0.000269531579995874,0.00581218692932876,0.00581502179295262,0.0762377001838904,0.0608678331843487,0.953,2000,835.385866165161
3,"aipw_robust",1000,5,"none",0,3,2,2000,-0.00468001579737942,0.00834363882543972,0.00832589922718959,0.0913435209822772,0.0732379930805429,0.9495,2000,835.385866165161
3,"reg_adj",1000,5,"none",0,3,2,2000,0.00345339315570747,0.00555224040130435,0.00554308602002648,0.074513357200601,0.059542083802834,0.9495,2000,835.385866165161
3,"adaptive",1000,5,"none",0,3,2,2000,0.00345339315570747,0.00555224040130435,0.00554308602002648,0.074513357200601,0.059542083802834,0.9495,2000,835.385866165161
4,"naive",200,10,"none",0,3,2,2000,0.00785922681955542,0.0342368408446791,0.0341921694832195,0.185031999515433,0.14528680489746,0.9495,2000,329.045756101608
4,"ipw_robust",200,10,"none",0,3,2,2000,-0.0150344013330155,0.0342047720286004,0.033995736673495,0.184945321726721,0.146867548279543,0.9535,2000,329.045756101608
4,"dr_robust",200,10,"none",0,3,2,2000,0.00379145189922347,0.032978975980399,0.0329810914186041,0.18160114531687,0.143153713161389,0.9475,2000,329.045756101608
4,"aipw_robust",200,10,"none",0,3,2,2000,-0.00566119458160186,0.0437633519711318,0.0437531794367594,0.209196921514471,0.166285933790482,0.955,2000,329.045756101608
4,"reg_adj",200,10,"none",0,3,2,2000,0.0077902285613205,0.0291859165645571,0.0291397988029209,0.170838861400318,0.134780051611395,0.949,2000,329.045756101608
4,"adaptive",200,10,"none",0,3,2,2000,0.0071418006469024,0.0296493836505703,0.0296131849265535,0.172189963849727,0.13550690043737,0.9505,2000,329.045756101608
5,"naive",500,10,"none",0,3,2,2000,0.00602181523755885,0.0125896770944664,0.0125596946830526,0.112203730305487,0.0896175498434147,0.9505,2000,792.282344102859
5,"ipw_robust",500,10,"none",0,3,2,2000,-0.0178699926901946,0.0130107833861813,0.0126977956452563,0.114064820984304,0.0907529751974521,0.9445,2000,792.282344102859
5,"dr_robust",500,10,"none",0,3,2,2000,0.000780478557089737,0.0123509220096107,0.0123564911083868,0.111134702094398,0.0888317441031538,0.953,2000,792.282344102859
5,"aipw_robust",500,10,"none",0,3,2,2000,-0.00389792622593488,0.0171033483024155,0.0170967028249651,0.130779770233838,0.103635219020857,0.95,2000,792.282344102859
5,"reg_adj",500,10,"none",0,3,2,2000,0.00498434179505969,0.0115067999192773,0.0114877001062004,0.107269753049391,0.0861151052167006,0.946,2000,792.282344102859
5,"adaptive",500,10,"none",0,3,2,2000,0.00498434179505969,0.0115067999192773,0.0114877001062004,0.107269753049391,0.0861151052167006,0.946,2000,792.282344102859
6,"naive",1000,10,"none",0,3,2,2000,0.00812244033546738,0.00613078181071787,0.00606784169456193,0.0782993091330816,0.0616167989598045,0.944,2000,1420.03727698326
6,"ipw_robust",1000,10,"none",0,3,2,2000,-0.0141714532687605,0.00633192021158814,0.0061341572024407,0.0795733637066333,0.0630545872898361,0.939,2000,1420.03727698326
6,"dr_robust",1000,10,"none",0,3,2,2000,0.00385455931801504,0.00590772879629029,0.00589581907829334,0.0768617511919309,0.0606008015321167,0.9405,2000,1420.03727698326
6,"aipw_robust",1000,10,"none",0,3,2,2000,-0.00111498256783626,0.00793770986204055,0.00794043689436115,0.0890938261724153,0.0711760466861782,0.953,2000,1420.03727698326
6,"reg_adj",1000,10,"none",0,3,2,2000,0.00796687091633785,0.00559966360213487,0.00553896205096276,0.0748309000489428,0.0591821748450774,0.9405,2000,1420.03727698326
6,"adaptive",1000,10,"none",0,3,2,2000,0.00796687091633785,0.00559966360213487,0.00553896205096276,0.0748309000489428,0.0591821748450774,0.9405,2000,1420.03727698326
7,"naive",200,20,"none",0,3,2,2000,0.00622780227243336,0.0400958189164881,0.0400770719313092,0.200239404005526,0.15701020776523,0.951,2000,825.439730167389
7,"ipw_robust",200,20,"none",0,3,2,2000,-0.019199904041215,0.0390246737949028,0.0386753751672945,0.197546637012384,0.155168674537276,0.95,2000,825.439730167389
7,"dr_robust",200,20,"none",0,3,2,2000,-0.000560693884717356,0.0366395480990981,0.0366575625027171,0.19141459740338,0.151092768557202,0.949,2000,825.439730167389
7,"aipw_robust",200,20,"none",0,3,2,2000,-0.00481898824455684,0.0451554404080049,0.0451547951578827,0.21249809506912,0.170521932382152,0.9515,2000,825.439730167389
7,"reg_adj",200,20,"none",0,3,2,2000,0.00473091172432438,0.0303451240439121,0.0303379114739057,0.174198519063487,0.137627317334979,0.949,2000,825.439730167389
7,"adaptive",200,20,"none",0,3,2,2000,0.00489944227120631,0.0327039191089459,0.0326962627057299,0.180842249236582,0.142167753528505,0.9535,2000,825.439730167389
8,"naive",500,20,"none",0,3,2,2000,0.00976488432909761,0.0123365714235985,0.0122473421287021,0.111070119400307,0.0883712372943318,0.952,2000,2023.6912560463
8,"ipw_robust",500,20,"none",0,3,2,2000,-0.0147695383066615,0.0125942247487624,0.0123822766252831,0.112223993641121,0.0895648197581191,0.949,2000,2023.6912560463
